loinc	scale	interpretation	hpoTermId
LOINC:1884-6	Qn	N	HP:0025201
LOINC:1884-6	Qn	H	HP:0031798
LOINC:1893-7	Qn	L	HP:0005961
LOINC:1893-7	Qn	N	HP:0010909
LOINC:1893-7	Qn	H	HP:0500153
LOINC:1894-5	Qn	N	HP:0003268
LOINC:1894-5	Qn	H	HP:0003268
LOINC:1895-2	Qn	N	HP:0003268
LOINC:1895-2	Qn	H	HP:0003268
LOINC:1903-4	Qn	L	HP:0100510
LOINC:1903-4	Qn	N	HP:0100510
LOINC:1908-3	Qn	L	HP:0500157
LOINC:1908-3	Qn	N	HP:0500155
LOINC:1908-3	Qn	H	HP:0500156
LOINC:1913-3	Qn	N	HP:0500158
LOINC:1913-3	Qn	H	HP:0500159
LOINC:1920-8	Qn	N	HP:0031956
LOINC:1920-8	Qn	H	HP:0031956
LOINC:1922-4	Qn	L	HP:0032066
LOINC:1922-4	Qn	N	HP:0032065
LOINC:1922-4	Qn	H	HP:0032067
LOINC:1923-2	Qn	L	HP:0032066
LOINC:1923-2	Qn	N	HP:0032065
LOINC:1923-2	Qn	H	HP:0032067
LOINC:1924-0	Qn	L	HP:0032066
LOINC:1924-0	Qn	N	HP:0032065
LOINC:1924-0	Qn	H	HP:0032067
LOINC:1925-7	Qn	N	HP:0032281
LOINC:1952-1	Qn	L	HP:0025347
LOINC:1952-1	Qn	N	HP:0025345
LOINC:1952-1	Qn	H	HP:0025346
LOINC:1953-9	Qn	N	HP:0025466
LOINC:1953-9	Qn	H	HP:0025466
LOINC:1959-6	Qn	L	HP:0032066
LOINC:1959-6	Qn	N	HP:0032065
LOINC:1959-6	Qn	H	HP:0032067
LOINC:1960-4	Qn	L	HP:0032066
LOINC:1960-4	Qn	N	HP:0032065
LOINC:1960-4	Qn	H	HP:0032067
LOINC:1961-2	Qn	L	HP:0032066
LOINC:1961-2	Qn	N	HP:0032065
LOINC:1961-2	Qn	H	HP:0032067
LOINC:1962-0	Qn	L	HP:0032066
LOINC:1962-0	Qn	N	HP:0032065
LOINC:1962-0	Qn	H	HP:0032067
LOINC:1963-8	Qn	L	HP:0032066
LOINC:1963-8	Qn	N	HP:0032065
LOINC:1963-8	Qn	H	HP:0032067
LOINC:1964-6	Qn	L	HP:0045011
LOINC:1964-6	Qn	N	HP:0011279
LOINC:1964-6	Qn	H	HP:0003646
LOINC:1968-7	Qn	N	HP:0001939
LOINC:1968-7	Qn	H	HP:0002904
LOINC:1971-1	Qn	N	HP:0002904
LOINC:1971-1	Qn	H	HP:0002904
LOINC:1975-2	Qn	N	HP:0003573
LOINC:1975-2	Qn	H	HP:0003573
LOINC:1977-8	Ord	NEG	HP:0031811
LOINC:1977-8	Ord	POS	HP:0031811
LOINC:1978-6	Qn	N	HP:0031811
LOINC:1978-6	Qn	H	HP:0031811
LOINC:1986-9	Qn	L	HP:0030795
LOINC:1986-9	Qn	N	HP:0030794
LOINC:1986-9	Qn	H	HP:0030796
LOINC:1988-5	Qn	L	HP:0032437
LOINC:1988-5	Qn	N	HP:0032436
LOINC:1988-5	Qn	H	HP:0011227
LOINC:1989-3	Qn	L	HP:0012053
LOINC:1989-3	Qn	N	HP:0100511
LOINC:1989-3	Qn	H	HP:0031415
LOINC:1992-7	Qn	N	HP:0100530
LOINC:1992-7	Qn	H	HP:0003528
LOINC:1994-3	Qn	L	HP:0002901
LOINC:1994-3	Qn	N	HP:0004363
LOINC:1994-3	Qn	H	HP:0003072
LOINC:1995-0	Qn	L	HP:0002901
LOINC:1995-0	Qn	N	HP:0004363
LOINC:1995-0	Qn	H	HP:0003072
LOINC:1996-8	Qn	L	HP:0002901
LOINC:1996-8	Qn	N	HP:0004363
LOINC:1996-8	Qn	H	HP:0003072
LOINC:2000-8	Qn	L	HP:0002901
LOINC:2000-8	Qn	N	HP:0004363
LOINC:2000-8	Qn	H	HP:0003072
LOINC:2004-0	Qn	L	HP:0003127
LOINC:2004-0	Qn	N	HP:0011280
LOINC:2004-0	Qn	H	HP:0002150
LOINC:2019-8	Qn	L	HP:0012417
LOINC:2019-8	Qn	N	HP:0500164
LOINC:2019-8	Qn	H	HP:0012416
LOINC:2020-6	Qn	L	HP:0012417
LOINC:2020-6	Qn	N	HP:0500164
LOINC:2020-6	Qn	H	HP:0012416
LOINC:2021-4	Qn	L	HP:0012417
LOINC:2021-4	Qn	N	HP:0500164
LOINC:2021-4	Qn	H	HP:0012416
LOINC:2027-1	Qn	L	HP:0012417
LOINC:2027-1	Qn	N	HP:0500164
LOINC:2027-1	Qn	H	HP:0012416
LOINC:2028-9	Qn	L	HP:0012417
LOINC:2028-9	Qn	N	HP:0500164
LOINC:2028-9	Qn	H	HP:0012416
LOINC:2039-6	Qn	N	HP:0031029
LOINC:2039-6	Qn	H	HP:0031029
LOINC:2069-3	Qn	L	HP:0003113
LOINC:2069-3	Qn	N	HP:0011422
LOINC:2069-3	Qn	H	HP:0011423
